grover_power,amplification_factor,shots,bad_counts,batch_index,counts_json,good_counts,p_raw,repeat_index
7,15,8192,4957,0,"{""000"": 16, ""001"": 13, ""010"": 133, ""011"": 85, ""100"": 120, ""101"": 100, ""110"": 4490, ""111"": 3235}",3235,0.3948974609375,0
23,47,8192,3228,1,"{""000"": 65, ""001"": 55, ""010"": 346, ""011"": 225, ""100"": 392, ""101"": 286, ""110"": 1859, ""111"": 4964}",4964,0.60595703125,0
0,1,8192,7078,2,"{""100"": 2, ""110"": 7076, ""111"": 1114}",1114,0.135986328125,0
9,19,8192,4333,3,"{""000"": 14, ""001"": 16, ""010"": 171, ""011"": 99, ""100"": 159, ""101"": 112, ""110"": 3762, ""111"": 3859}",3859,0.4710693359375,0
21,43,8192,6283,4,"{""000"": 67, ""001"": 31, ""010"": 343, ""011"": 205, ""100"": 333, ""101"": 224, ""110"": 5080, ""111"": 1909}",1909,0.2330322265625,0
24,49,8192,5555,5,"{""000"": 63, ""001"": 49, ""010"": 365, ""011"": 251, ""100"": 356, ""101"": 274, ""110"": 4197, ""111"": 2637}",2637,0.3218994140625,0
2,5,8192,1011,6,"{""000"": 2, ""001"": 5, ""010"": 29, ""011"": 32, ""100"": 37, ""101"": 27, ""110"": 879, ""111"": 7181}",7181,0.8765869140625,0
18,37,8192,3067,7,"{""000"": 57, ""001"": 33, ""010"": 290, ""011"": 198, ""100"": 291, ""101"": 208, ""110"": 1990, ""111"": 5125}",5125,0.6256103515625,0
6,13,8192,1187,8,"{""000"": 13, ""001"": 17, ""010"": 102, ""011"": 65, ""100"": 124, ""101"": 85, ""110"": 781, ""111"": 7005}",7005,0.8551025390625,1
14,29,8192,2217,9,"{""000"": 43, ""001"": 23, ""010"": 221, ""011"": 170, ""100"": 225, ""101"": 154, ""110"": 1381, ""111"": 5975}",5975,0.7293701171875,0
4,9,8192,7501,10,"{""000"": 7, ""001"": 6, ""010"": 81, ""011"": 42, ""100"": 72, ""101"": 55, ""110"": 7238, ""111"": 691}",691,0.0843505859375,1
0,1,8192,7104,11,"{""011"": 1, ""100"": 2, ""110"": 7101, ""111"": 1088}",1088,0.1328125,1
20,41,8192,6101,12,"{""000"": 42, ""001"": 42, ""010"": 345, ""011"": 230, ""100"": 323, ""101"": 242, ""110"": 4877, ""111"": 2091}",2091,0.2552490234375,1
22,45,8192,3792,13,"{""000"": 50, ""001"": 50, ""010"": 345, ""011"": 228, ""100"": 355, ""101"": 251, ""110"": 2513, ""111"": 4400}",4400,0.537109375,0
5,11,8192,3159,14,"{""000"": 13, ""001"": 8, ""010"": 91, ""011"": 68, ""100"": 90, ""101"": 58, ""110"": 2831, ""111"": 5033}",5033,0.6143798828125,1
23,47,8192,3254,15,"{""000"": 61, ""001"": 44, ""010"": 388, ""011"": 229, ""100"": 366, ""101"": 275, ""110"": 1891, ""111"": 4938}",4938,0.602783203125,1
10,21,8192,1566,16,"{""000"": 17, ""001"": 15, ""010"": 165, ""011"": 129, ""100"": 162, ""101"": 135, ""110"": 943, ""111"": 6626}",6626,0.808837890625,1
5,11,8192,3143,17,"{""000"": 12, ""001"": 10, ""010"": 105, ""011"": 51, ""100"": 91, ""101"": 56, ""110"": 2818, ""111"": 5049}",5049,0.6163330078125,0
1,3,8192,1690,18,"{""000"": 1, ""001"": 2, ""010"": 18, ""011"": 10, ""100"": 23, ""101"": 11, ""110"": 1625, ""111"": 6502}",6502,0.793701171875,1
4,9,8192,7476,19,"{""000"": 10, ""001"": 2, ""010"": 80, ""011"": 62, ""100"": 82, ""101"": 43, ""110"": 7197, ""111"": 716}",716,0.08740234375,0
15,31,8192,3587,20,"{""000"": 37, ""001"": 27, ""010"": 271, ""011"": 154, ""100"": 250, ""101"": 170, ""110"": 2678, ""111"": 4605}",4605,0.5621337890625,1
3,7,8192,5951,21,"{""000"": 6, ""001"": 3, ""010"": 46, ""011"": 36, ""100"": 51, ""101"": 52, ""110"": 5757, ""111"": 2241}",2241,0.2735595703125,0
19,39,8192,3304,22,"{""000"": 48, ""001"": 30, ""010"": 300, ""011"": 215, ""100"": 325, ""101"": 222, ""110"": 2164, ""111"": 4888}",4888,0.5966796875,0
12,25,8192,7159,23,"{""000"": 40, ""001"": 20, ""010"": 231, ""011"": 138, ""100"": 195, ""101"": 141, ""110"": 6394, ""111"": 1033}",1033,0.1260986328125,1
17,35,8192,5922,24,"{""000"": 44, ""001"": 25, ""010"": 279, ""011"": 174, ""100"": 299, ""101"": 220, ""110"": 4881, ""111"": 2270}",2270,0.277099609375,1
1,3,8192,1705,25,"{""000"": 3, ""001"": 1, ""010"": 11, ""011"": 14, ""100"": 25, ""101"": 17, ""110"": 1634, ""111"": 6487}",6487,0.7918701171875,0
22,45,8192,3805,26,"{""000"": 58, ""001"": 56, ""010"": 381, ""011"": 252, ""100"": 342, ""101"": 276, ""110"": 2440, ""111"": 4387}",4387,0.5355224609375,1
11,23,8192,4138,27,"{""000"": 25, ""001"": 17, ""010"": 172, ""011"": 136, ""100"": 186, ""101"": 135, ""110"": 3467, ""111"": 4054}",4054,0.494873046875,0
7,15,8192,4964,28,"{""000"": 14, ""001"": 16, ""010"": 122, ""011"": 71, ""100"": 136, ""101"": 79, ""110"": 4526, ""111"": 3228}",3228,0.39404296875,1
13,27,8192,5242,29,"{""000"": 38, ""001"": 16, ""010"": 230, ""011"": 136, ""100"": 222, ""101"": 144, ""110"": 4456, ""111"": 2950}",2950,0.360107421875,0
2,5,8192,1003,30,"{""000"": 5, ""001"": 3, ""010"": 24, ""011"": 30, ""100"": 31, ""101"": 34, ""110"": 876, ""111"": 7189}",7189,0.8775634765625,1
18,37,8192,3017,31,"{""000"": 51, ""001"": 29, ""010"": 302, ""011"": 176, ""100"": 272, ""101"": 218, ""110"": 1969, ""111"": 5175}",5175,0.6317138671875,1
10,21,8192,1573,32,"{""000"": 17, ""001"": 20, ""010"": 171, ""011"": 122, ""100"": 170, ""101"": 113, ""110"": 960, ""111"": 6619}",6619,0.8079833984375,0
16,33,8192,6647,33,"{""000"": 40, ""001"": 24, ""010"": 273, ""011"": 180, ""100"": 300, ""101"": 168, ""110"": 5662, ""111"": 1545}",1545,0.1885986328125,0
16,33,8192,6653,34,"{""000"": 41, ""001"": 30, ""010"": 265, ""011"": 180, ""100"": 242, ""101"": 195, ""110"": 5700, ""111"": 1539}",1539,0.1878662109375,1
20,41,8192,6076,35,"{""000"": 57, ""001"": 45, ""010"": 300, ""011"": 199, ""100"": 337, ""101"": 251, ""110"": 4887, ""111"": 2116}",2116,0.25830078125,0
8,17,8192,7446,36,"{""000"": 17, ""001"": 13, ""010"": 150, ""011"": 73, ""100"": 127, ""101"": 120, ""110"": 6946, ""111"": 746}",746,0.091064453125,0
15,31,8192,3615,37,"{""000"": 44, ""001"": 28, ""010"": 247, ""011"": 156, ""100"": 262, ""101"": 164, ""110"": 2714, ""111"": 4577}",4577,0.5587158203125,0
14,29,8192,2215,38,"{""000"": 26, ""001"": 27, ""010"": 231, ""011"": 146, ""100"": 269, ""101"": 155, ""110"": 1361, ""111"": 5977}",5977,0.7296142578125,1
17,35,8192,5954,39,"{""000"": 33, ""001"": 24, ""010"": 309, ""011"": 185, ""100"": 289, ""101"": 191, ""110"": 4923, ""111"": 2238}",2238,0.273193359375,0
12,25,8192,7154,40,"{""000"": 20, ""001"": 24, ""010"": 187, ""011"": 139, ""100"": 197, ""101"": 151, ""110"": 6436, ""111"": 1038}",1038,0.126708984375,0
8,17,8192,7432,41,"{""000"": 23, ""001"": 19, ""010"": 147, ""011"": 78, ""100"": 136, ""101"": 116, ""110"": 6913, ""111"": 760}",760,0.0927734375,1
3,7,8192,5895,42,"{""000"": 8, ""001"": 3, ""010"": 45, ""011"": 39, ""100"": 43, ""101"": 52, ""110"": 5705, ""111"": 2297}",2297,0.2803955078125,1
13,27,8192,5245,43,"{""000"": 30, ""001"": 18, ""010"": 218, ""011"": 123, ""100"": 230, ""101"": 137, ""110"": 4489, ""111"": 2947}",2947,0.3597412109375,1
9,19,8192,4358,44,"{""000"": 24, ""001"": 22, ""010"": 161, ""011"": 98, ""100"": 162, ""101"": 101, ""110"": 3790, ""111"": 3834}",3834,0.468017578125,1
6,13,8192,1180,45,"{""000"": 14, ""001"": 7, ""010"": 111, ""011"": 77, ""100"": 103, ""101"": 75, ""110"": 793, ""111"": 7012}",7012,0.85595703125,0
11,23,8192,4144,46,"{""000"": 21, ""001"": 15, ""010"": 192, ""011"": 139, ""100"": 183, ""101"": 139, ""110"": 3455, ""111"": 4048}",4048,0.494140625,1
24,49,8192,5553,47,"{""000"": 59, ""001"": 57, ""010"": 355, ""011"": 238, ""100"": 379, ""101"": 292, ""110"": 4173, ""111"": 2639}",2639,0.3221435546875,1
21,43,8192,6344,48,"{""000"": 51, ""001"": 43, ""010"": 328, ""011"": 213, ""100"": 344, ""101"": 230, ""110"": 5135, ""111"": 1848}",1848,0.2255859375,1
19,39,8192,3283,49,"{""000"": 61, ""001"": 44, ""010"": 297, ""011"": 197, ""100"": 281, ""101"": 228, ""110"": 2175, ""111"": 4909}",4909,0.5992431640625,1
