rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth
1,BAE,0.929029790028328,9975,0.0040023884541534605,19,5 13 5 5 3 5 7 7 7 3 13 7 3 3 3 9 3 9 9 9 3 9 9 3 9 7 3 3 3 9 9 3 9 3 5 5 9 3 9 9 3 9 9 5 3 3 3 9 3 3 9 11 3 3 5 3 9 5 3 13 9 9 3 7 7 3 9 9 9 3 9 3 9 3 9 3 3 9 3 3 3 9 3 9 3 7 5 3 3 7 3 7 7 3 3 3 13 9 3 9 9 9 9 3 3 9 3 9 9 9 3 9 9 7 9 9 7 3 7 7 3 9 3 9 3 7 7 9 9 3 9 7 3 3 9 3 7 3 3 9 9 3 9 9 9 7 3 7 7 9 9 9 9 5 7 7 3 3 13 9 7 9 3 3 3 9 9 9 3 3 9 9 9 9 9 3 3 9 9 9 9 3 3 3 3 9 7 3 3 3 9 9 9 9 9 3 9 9 3 3 5 7 3 9 3 7 9 9 9 7 3 3 7 3 9 3 9 9 13 9 3 9 7 3 9 3 9 3 9 3 3 9 7 9 9 9 3 7 3 9 7 7 9 7 9 7 9 3 9 7 13 9 9 9 7 3 3 3 9 9 9 9 9 9 9 9 9 19 7 3 9 9 3 5 9 9 7 7 9 9 9 9 3 3 7 3 3 3 9 9 9 9 9 7 7 3 9 3 9 9 7 9,1.0,0.008970902323181651,19.0
1,BIQAE,0.929029790028328,4975,8.610536555986315e-06,207,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 9 9 9 9 9 9 21 21 45 45 45 103 103 103 207 207,1.0,0.0008831246277998805,105.0
1,CABIQAE_latentt,0.929029790028328,6490,0.002487918910538456,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0.0,0.0009945244190066038,3.0
2,BAE,0.39217616151765594,9995,0.031180866985730638,15,3 13 5 3 5 3 5 3 5 13 3 5 11 3 5 5 5 5 13 5 3 13 5 3 3 5 5 3 3 3 5 11 3 5 11 11 13 11 11 11 3 13 3 11 11 11 11 9 3 9 11 3 3 9 3 13 3 11 11 11 13 11 3 3 9 11 3 3 9 9 3 11 3 11 11 11 3 3 3 15 3 11 13 5 3 11 3 3 3 5 5 3 13 13 5 5 3 5 13 13 5 11 5 11 5 5 3 5 3 13 5 5 5 5 3 3 5 5 15 3 11 3 11 3 11 5 5 3 3 3 3 5 9 9 11 3 9 3 3 3 11 11 3 3 9 11 3 3 11 3 3 11 13 9 11 13 13 11 11 11 11 11 3 3 3 11 11 11 3 11 9 11 7 3 11 11 9 9 3 3 9 3 11 3 11 13 3 9 3 9 11 3 3 3 3 9 11 3 11 13 3 11 11 3 11 9 11 3 3 3 3 3 11 9 9 9 11 11 11 5 3 11 5 5 3 9 11 3 3 11 11 3 11 11 11 3 13 3 11 3 11 5 3 3 3 11 11 3 11 11 3 11 11 11 11 13 3 13 3 11 15 13 3 3 13 3 11 3 11 11 13 3 3 3 3 11,1.0,0.022209555037019657,15.0
2,BIQAE,0.39217616151765594,10625,0.002271663771033383,309,1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 17 17 17 17 47 47 47 47 107 107 107 107 107 309 309 309 309,0.0,0.0008885262116469783,156.0
2,CABIQAE_latentt,0.39217616151765594,2445,0.09586699783965547,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0.0,0.0009957767809994633,2.0
3,BAE,0.8809216103875599,9965,0.002387759138746004,19,9 3 3 5 3 3 7 7 3 3 7 7 7 7 13 7 3 7 7 7 7 7 3 7 11 11 7 7 11 7 7 7 11 7 7 7 7 7 3 3 7 7 7 7 7 7 7 11 7 7 11 7 7 7 7 7 7 7 3 7 7 7 11 7 7 7 11 7 7 7 11 11 7 5 11 3 5 19 7 7 11 7 7 7 5 11 7 7 7 7 11 11 7 7 7 7 7 7 7 3 7 11 3 7 7 3 3 7 7 7 7 3 7 7 11 7 7 7 3 7 7 7 11 7 11 7 7 7 7 5 7 7 7 11 7 7 7 7 15 7 7 7 7 7 7 7 7 3 7 11 11 11 7 3 7 7 7 11 7 11 7 7 7 7 3 7 3 3 7 7 7 3 11 3 7 7 7 7 7 7 7 11 3 7 3 7 7 7 3 3 7 7 7 3 7 7 3 7 11 7 11 3 7 7 7 7 11 7 3 11 7 7 5 7 7 3 7 5 7 7 3 3 7 3 7 7 5 11 7 7 5 7 7 3 7 7 11 7 11 7 7 3 7 7 7 7 3 7 7 11 11 7 7 7 7 7 3 11 7 5 7 11 7 11 7 7 7 11 3 7 3 3 7 7 11 7 3 7 7 7 7 11 3 7,1.0,0.011209876976331135,19.0
3,BIQAE,0.8809216103875599,6515,0.004629839389140855,327,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 13 13 13 13 13 27 27 27 27 71 71 155 155 155 155 327,0.0,0.000838409671773177,165.0
3,CABIQAE_latentt,0.8809216103875599,8030,0.038653386918467536,3,1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0.0,0.0009949008426552441,3.0
4,BAE,0.28552318147718975,9995,0.02413462460863447,15,5 5 5 7 7 7 7 5 13 7 7 7 7 7 5 13 7 7 7 5 7 9 9 7 7 13 5 7 7 7 5 7 7 7 7 7 7 5 7 7 5 7 7 7 7 9 7 9 7 7 15 9 7 7 3 7 7 7 7 9 9 3 7 7 7 7 7 11 9 7 7 7 11 7 9 7 7 3 3 7 7 7 7 9 7 7 3 7 7 7 7 7 7 7 7 7 7 9 7 7 11 5 7 9 7 7 7 9 7 7 7 9 7 7 7 7 9 9 9 7 7 7 7 7 9 7 7 7 7 7 7 7 7 7 7 9 7 7 7 9 9 9 7 7 7 7 7 9 7 7 7 9 7 9 7 7 7 5 7 5 7 7 3 7 7 7 7 7 7 7 7 7 7 7 9 7 15 7 5 7 7 9 9 9 7 7 15 7 15 5 7 9 7 7 5 7 9 7 7 5 7 7 7 7 7 7 9 7 7 7 7 7 7 7 7 7 7 9 7 7 7 9 7 15 7 7 7 7 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 9 7 7 7 7 7 7 9 7 7 15 5 7 7 7 7 7 7 7 7 7 7 7 5 7 7 5 9,1.0,0.01514541381627249,15.0
4,BIQAE,0.28552318147718975,8400,0.003655868841217602,287,1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 23 23 23 23 59 59 59 59 131 131 131 287 287 287,0.0,0.0009172930245056055,145.0
4,CABIQAE_latentt,0.28552318147718975,3985,0.08570451007422131,5,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5,0.0,0.0009958165497265803,4.0
5,BAE,0.33718735257277777,9960,0.06041195025599322,19,3 3 3 13 9 9 9 3 3 5 3 11 5 5 13 5 5 5 3 3 3 9 3 3 9 11 11 11 3 11 9 9 3 3 3 13 3 13 11 9 3 13 9 9 9 3 9 3 9 11 9 7 7 11 3 3 9 7 7 9 3 9 9 9 9 3 11 9 9 9 3 9 9 9 9 13 3 9 9 9 9 9 7 9 9 9 9 9 3 3 9 11 9 9 3 9 3 9 9 19 9 9 3 9 9 9 3 9 11 9 9 9 9 19 7 9 11 9 9 9 3 9 11 11 7 9 9 13 9 9 3 9 9 9 11 3 9 11 9 9 9 9 3 9 3 9 3 11 3 11 3 9 3 9 3 11 11 11 11 9 7 11 9 11 11 11 11 3 9 11 9 9 9 7 3 9 9 3 9 3 3 3 9 3 3 9 11 9 9 13 9 9 9 9 11 3 9 9 9 9 9 3 9 9 9 3 7 3 9 9 9 9 13 3 11 7 3 3 11 3 9 9 9 9 9 3 11 3 9 3 11 9 3 9 11 3 3 9 9 3 9 9 9 9 3 9 9 3 9 15 11 3 9 9 9,1.0,0.023444382569067168,19.0
5,BIQAE,0.33718735257277777,10350,0.05566923579493688,377,1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 15 15 15 35 35 35 77 77 77 175 175 175 175 175 377 377,0.0,0.0008644680966769513,190.0
5,CABIQAE_latentt,0.33718735257277777,2930,0.164783738528248,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0.0,0.0009964126135433848,2.0
